time (seconds),temperature,drank water,did not drink,thirsty
13.528,21,1,,
16.628,21,,1,1
21.234,21,,1,1
22.769,,,1,1
24.237,21,1,,
78.788,22,1,,
80.473,22,1,,
85.042,22,,1,1
88.063,20,,1,1
90.85,20,1,,
95.435,20,1,,
98.287,20,1,,
99.523,20,1,,
105.578,21,,1,1
108.231,21,,1,1
110.081,21,,1,1
115.202,21,1,,
118.606,21,1,,
130.741,21,1,,
134.009,21,,1,1
150.044,21,,1,1
153.033,20,1,,
155.402,20,1,,
158.355,20,1,,
161.588,20,1,,
165.29,20,,1,1
180.453,25,1,,
184.9,25,1,,
190.344,25,1,,
194.565,25,1,,
199.57,25,1,,
